,Unnamed: 0.1,Unnamed: 0,stem_word,most_similar_words,new_word_id,similar_word,score,Relevant_to_study,0
0,0,0.0,adamant,"('adamantly', 0.8700840473175049)",1.0,adamantly,0.870084047,1.0,
1,4,4.0,adamant,"('adamant/belligerant', 0.8073655962944031)",5.0,adamant/belligerant,0.807365596,1.0,
2,5,5.0,adamant,"('addamant', 0.8024250268936157)",6.0,addamant,0.802425027,1.0,
3,10,10.0,claimed,"('claiming', 0.8613888621330261)",11.0,claiming,0.861388862,1.0,
4,11,11.0,claimed,"('proclaimed', 0.8020331859588623)",12.0,proclaimed,0.802033186,1.0,
5,12,12.0,claimed,"('claimes', 0.8018528819084167)",13.0,claimes,0.801852882,1.0,
6,13,13.0,claimed,"('claimedthat', 0.7988616824150085)",14.0,claimedthat,0.798861682,1.0,
7,14,14.0,claimed,"('asserted', 0.7909709215164185)",15.0,asserted,0.790970922,1.0,
8,17,17.0,claimed,"('disclaimed', 0.7615230679512024)",18.0,disclaimed,0.761523068,1.0,
9,20,20.0,insists,"('insisting', 0.9118836522102356)",21.0,insisting,0.911883652,1.0,
10,22,22.0,insists,"('reinsists', 0.878170907497406)",23.0,reinsists,0.878170907,1.0,
11,23,23.0,insists,"('insist', 0.8775016069412231)",24.0,insist,0.877501607,1.0,
12,24,24.0,insists,"('insisted', 0.8763058185577393)",25.0,insisted,0.876305819,1.0,
13,25,25.0,insists,"('.insists', 0.8596949577331543)",26.0,.insists,0.859694958,1.0,
14,26,26.0,insists,"('believes', 0.7925394773483276)",27.0,believes,0.792539477,1.0,
15,27,27.0,insists,"('them-insists', 0.7853338122367859)",28.0,them-insists,0.785333812,1.0,
16,28,28.0,insists,"('insisisted', 0.7768796682357788)",29.0,insisisted,0.776879668,1.0,
17,29,29.0,insists,"('insisist', 0.7753462791442871)",30.0,insisist,0.775346279,1.0,
18,30,30.0,allegedly,"('alleged', 0.8469799757003784)",31.0,alleged,0.846979976,1.0,
19,31,31.0,allegedly,"('supposedly', 0.8079378604888916)",32.0,supposedly,0.80793786,1.0,
20,32,32.0,allegedly,"('undisguisedly', 0.7772404551506042)",33.0,undisguisedly,0.777240455,1.0,
21,33,33.0,allegedly,"('purportedly', 0.7767190337181091)",34.0,purportedly,0.776719034,1.0,
22,34,34.0,allegedly,"('doggedly', 0.7763069272041321)",35.0,doggedly,0.776306927,1.0,
23,35,35.0,allegedly,"('accused', 0.77120041847229)",36.0,accused,0.771200418,1.0,
24,36,36.0,allegedly,"('allegedly-unnecessary', 0.7619225382804871)",37.0,allegedly-unnecessary,0.761922538,1.0,
25,37,37.0,allegedly,"('culpably', 0.7603241801261902)",38.0,culpably,0.76032418,1.0,
26,38,38.0,allegedly,"('confessionally', 0.7543294429779053)",39.0,confessionally,0.754329443,1.0,
27,39,39.0,allegedly,"('alledgedly', 0.753083348274231)",40.0,alledgedly,0.753083348,1.0,
28,40,40.0,disbelieves,"('disbelieve', 0.9491704702377319)",41.0,disbelieve,0.94917047,1.0,
29,41,41.0,disbelieves,"('misbelieves', 0.9373048543930054)",42.0,misbelieves,0.937304854,1.0,
30,42,42.0,disbelieves,"('disbelieved', 0.93576979637146)",43.0,disbelieved,0.935769796,1.0,
31,43,43.0,disbelieves,"('disbelieving', 0.9172685146331787)",44.0,disbelieving,0.917268515,1.0,
32,44,44.0,disbelieves,"('misbelieved', 0.8845924139022827)",45.0,misbelieved,0.884592414,1.0,
33,45,45.0,disbelieves,"('misbelieve', 0.8760519623756409)",46.0,misbelieve,0.876051962,1.0,
34,46,46.0,disbelieves,"('disbelief', 0.8734238743782043)",47.0,disbelief,0.873423874,1.0,
35,47,47.0,disbelieves,"('disbeliever', 0.870236873626709)",48.0,disbeliever,0.870236874,1.0,
36,49,49.0,disbelieves,"('disbelievers', 0.8415865898132324)",50.0,disbelievers,0.84158659,1.0,
37,50,50.0,dubious,"('doubious', 0.859133780002594)",51.0,doubious,0.85913378,1.0,
38,51,51.0,dubious,"(""'dubious"", 0.8399533033370972)",52.0,'dubious,0.839953303,1.0,
39,52,52.0,dubious,"('non-dubious', 0.833116888999939)",53.0,non-dubious,0.833116889,1.0,
40,55,55.0,dubious,"('dubiously', 0.8003257513046265)",56.0,dubiously,0.800325751,1.0,
41,56,56.0,dubious,"('dubious/equivocal', 0.7837656736373901)",57.0,dubious/equivocal,0.783765674,1.0,
42,0,,chat_gpt,,,"""doubtful",,,"""doubtful"
43,1,,chat_gpt,,,skeptical,,, skeptical
44,2,,chat_gpt,,,dubious,,, dubious
49,7,,chat_gpt,,,unconvinced,,, unconvinced
51,9,,chat_gpt,,,unreliable,,, unreliable
